"lead_id","quote_qty","quote_price","lead_success","job_id","created_date","cust_id","location_id","sales_agent_id","sales_class_id"
424843,278000,1.57,"Y",341616,20141222,2548,9,1276,2
424844,130800,0.79,"Y",341617,20130718,2916,12,1329,5
424845,116400,0.80,"N",NULL,20141002,2542,2,1437,3
424846,334900,0.78,"Y",341618,20130729,2932,6,1513,3
424847,1169100,0.73,"Y",341619,20131018,2600,9,1547,5
424848,843700,0.75,"Y",341620,20140902,2535,2,1518,6
424849,133600,0.79,"N",NULL,20130418,2728,3,1494,6
424850,398400,1.55,"Y",341621,20140410,2576,1,1593,1
424851,959700,0.74,"Y",341622,20130429,2622,1,1127,3
424852,575700,0.77,"Y",341623,20131030,2809,6,1196,6
424853,531000,0.77,"Y",341624,20131121,2647,12,1125,4
424854,712700,0.76,"Y",341625,20131227,2539,12,1584,6
424855,232000,0.79,"Y",341626,20140120,2587,4,1360,4
424856,756300,1.50,"Y",341627,20131205,2822,1,1496,1
424857,1204900,0.73,"Y",341628,20130709,2682,4,1127,6
424858,407100,0.78,"Y",341629,20140606,2671,10,1242,6
424859,459900,0.78,"Y",341630,20131023,2816,6,1247,6
424860,597800,1.54,"Y",341631,20131118,2655,6,1161,1
424861,198900,0.79,"Y",341632,20130516,2588,6,1414,6
424862,265200,0.78,"Y",341633,20140303,2580,12,1124,5
424863,1021800,1.47,"Y",341634,20131212,2584,10,1189,2
424864,1051800,0.74,"Y",341635,20130104,2713,10,1482,4
424865,1003500,0.74,"N",NULL,20140725,2626,9,1572,4
424866,592600,0.77,"Y",341636,20130418,2545,6,1223,4
424867,340100,1.57,"Y",341637,20140801,2609,2,1553,1
424868,860500,1.50,"Y",341638,20140729,2918,1,1392,2
424869,428100,0.78,"Y",341639,20130816,2548,11,1306,6
424870,1068100,0.74,"Y",341640,20130802,2634,8,1259,3
424871,731400,0.76,"Y",341641,20130405,2855,8,1565,5
424872,878100,1.49,"Y",341642,20130215,2622,9,1325,1
424873,920700,1.49,"Y",341643,20140109,2556,2,1367,1
424874,419200,1.55,"Y",341644,20130819,2848,10,1307,1
424875,529400,0.77,"Y",341645,20130307,2712,2,1309,6
424876,818000,0.75,"Y",341646,20140908,2685,3,1546,5
424877,781500,0.75,"Y",341647,20140918,2936,9,1418,4
424878,1191300,0.73,"Y",341648,20130730,2865,2,1331,6
424879,77900,0.80,"Y",341649,20140917,2512,5,1212,6
424880,1199400,1.46,"Y",341650,20140630,2605,8,1167,2
424881,191900,1.58,"Y",341651,20141126,2661,6,1425,1
424882,258900,1.57,"Y",341652,20140417,2677,2,1498,1
424883,620200,0.77,"Y",341653,20140415,2711,11,1502,6
424884,730700,0.76,"N",NULL,20141106,2911,1,1315,4
424885,741500,0.76,"Y",341654,20140113,2897,4,1360,3
424886,970800,0.74,"Y",341655,20131224,2986,12,1149,3
424887,215900,0.79,"Y",341656,20141202,2907,1,1231,5
424888,1023800,0.74,"N",NULL,20141107,2918,3,1513,6
424889,582400,0.77,"Y",341657,20140916,2990,12,1219,4
424890,842300,1.50,"Y",341658,20140516,2860,5,1567,2
424891,584000,0.77,"Y",341659,20130625,2595,5,1324,3
424892,1000500,1.47,"Y",341660,20130301,2908,8,1267,2
424893,158100,1.58,"Y",341661,20131008,2876,2,1274,1
424894,158100,1.58,"Y",341662,20141211,2672,1,1522,1
424895,897500,0.74,"N",NULL,20141119,2923,10,1442,3
424896,993700,0.74,"Y",341663,20140220,2665,8,1537,5
424897,1018800,0.74,"Y",341664,20130625,2790,8,1389,3
424898,764300,1.50,"Y",341665,20130304,2588,12,1537,1
424899,703600,0.76,"Y",341666,20140826,2837,3,1188,3
424900,444000,0.78,"Y",341667,20130301,2803,10,1354,4
424901,87500,1.60,"Y",341668,20140402,2781,8,1616,1
424902,690600,1.52,"Y",341669,20130530,2785,10,1268,2
424903,1022900,0.74,"Y",341670,20141211,2766,11,1238,4
424904,219500,0.79,"Y",341671,20131014,2980,11,1212,3
424905,797600,0.75,"Y",341672,20130308,2518,10,1533,4
424906,297300,1.57,"Y",341673,20130306,2776,3,1227,1
424907,458500,0.78,"Y",341674,20131211,2511,11,1210,6
424908,1151500,1.46,"Y",341675,20130809,2745,8,1233,2
424909,1142500,0.73,"Y",341676,20130419,2639,7,1529,6
424910,199100,0.79,"Y",341677,20130513,2839,9,1367,4
424911,909200,1.49,"Y",341678,20140807,2587,1,1304,1
424912,414100,0.78,"Y",341679,20130125,2534,1,1487,4
424913,796400,0.75,"Y",341680,20130626,2771,11,1144,4
424914,194500,0.79,"Y",341681,20130729,2771,12,1428,5
424915,357700,1.57,"N",NULL,20141124,2560,5,1399,2
424916,251300,1.57,"Y",341682,20131212,2636,11,1179,2
424917,360000,0.78,"Y",341683,20141216,2745,12,1278,3
424918,946100,0.74,"Y",341684,20141219,2634,4,1123,3
424919,1116600,0.74,"Y",341685,20140228,2619,3,1268,6
424920,979100,0.74,"Y",341686,20131015,2730,11,1469,4
424921,1143700,1.46,"Y",341687,20140319,2850,3,1416,1
424922,199200,0.79,"N",NULL,20131024,2635,1,1498,5
424923,1125600,0.73,"N",NULL,20140311,2659,2,1377,3
424924,1008200,0.74,"Y",341688,20140711,2943,12,1226,4
424925,475700,0.78,"Y",341689,20130605,2612,11,1557,6
424926,1060400,0.74,"Y",341690,20141222,2757,3,1337,4
424927,642600,0.76,"Y",341691,20141210,2589,9,1298,6
424928,940800,0.74,"Y",341692,20131127,2801,1,1579,4
424929,793900,0.75,"Y",341693,20140707,2829,11,1348,4
424930,166600,0.79,"Y",341694,20130321,2958,8,1370,4
424931,791200,0.75,"Y",341695,20140318,2509,6,1308,4
424932,55800,0.80,"Y",341696,20140324,2695,6,1611,4
424933,344000,0.78,"Y",341697,20141030,2546,6,1339,4
424934,1144400,0.73,"Y",341698,20130613,2759,4,1231,5
424935,508700,0.77,"Y",341699,20140619,2781,11,1244,4
424936,1240500,1.46,"Y",341700,20140109,2803,1,1328,1
424937,323300,0.78,"Y",341701,20140605,2590,8,1382,3
424938,992100,0.74,"Y",341702,20131204,2581,9,1253,6
424939,82300,0.80,"Y",341703,20140203,2614,1,1154,5
424940,281800,0.78,"Y",341704,20130408,2716,5,1258,4
424941,433000,0.78,"Y",341705,20130404,2531,7,1530,5
424942,474300,0.78,"Y",341706,20131226,2565,7,1516,5
424943,557400,0.77,"Y",341707,20131105,2591,9,1164,5
424944,448500,0.78,"Y",341708,20130325,2826,5,1432,3
424945,1093500,0.74,"Y",341709,20131002,2598,10,1253,5
424946,369900,0.78,"N",NULL,20130729,2750,2,1391,6
424947,1078900,0.74,"N",NULL,20130917,2868,4,1506,6
424948,740400,0.76,"N",NULL,20130703,2593,10,1273,6
424949,1062200,0.74,"Y",341710,20140718,2914,5,1317,4
424950,1089300,0.74,"Y",341711,20140224,2516,10,1617,6
424951,1161700,0.73,"N",NULL,20140625,2933,10,1324,5
424952,179800,0.79,"Y",341712,20130605,2804,7,1277,5
424953,589900,0.77,"Y",341713,20130919,2672,12,1142,4
424954,569200,1.54,"Y",341714,20140618,2932,7,1559,1
424955,923100,1.49,"N",NULL,20130527,2717,5,1329,1
424956,439800,1.55,"Y",341715,20130606,2507,11,1252,1
424957,404900,1.55,"Y",341716,20130606,2568,12,1529,2
424958,462900,0.78,"Y",341717,20140724,2792,10,1362,6
424959,1140900,0.73,"Y",341718,20140324,2960,10,1389,6
424960,879500,0.74,"Y",341719,20131218,2527,3,1410,3
424961,1012900,0.74,"Y",341720,20140820,2607,8,1410,4
424962,754500,0.75,"Y",341721,20130730,2685,9,1519,4
424963,693300,0.76,"N",NULL,20130523,2848,1,1534,4
424964,925700,1.49,"Y",341722,20130125,2608,9,1151,1
424965,747600,0.76,"Y",341723,20141225,2908,5,1540,3
424966,296000,0.78,"N",NULL,20140630,2591,11,1366,3
424967,1057900,1.47,"Y",341724,20130325,2580,12,1252,1
424968,829300,1.50,"Y",341725,20130412,2783,10,1437,1
424969,405000,0.78,"Y",341726,20130827,2891,5,1133,3
424970,516900,0.77,"Y",341727,20130313,2579,5,1334,6
424971,892800,1.49,"Y",341728,20131025,2531,9,1155,2
424972,609000,0.77,"Y",341729,20141017,2998,10,1134,4
424973,133500,0.79,"Y",341730,20130501,2903,10,1406,4
424974,261700,0.78,"Y",341731,20130607,2863,2,1181,5
424975,250900,0.78,"Y",341732,20140331,2765,11,1325,6
424976,635700,0.76,"Y",341733,20140807,2840,6,1321,4
424977,67600,0.80,"Y",341734,20130814,2606,2,1131,5
424978,1015100,0.74,"Y",341735,20130417,2583,3,1403,5
424979,1127500,0.73,"N",NULL,20130315,2833,11,1144,3
424980,854300,0.75,"Y",341736,20141124,2754,10,1156,5
424981,913800,0.74,"N",NULL,20140324,2601,11,1173,3
424982,774900,0.75,"N",NULL,20130510,2788,2,1436,3
424983,355200,0.78,"Y",341737,20140618,2645,2,1278,6
424984,936500,0.74,"Y",341738,20140606,2535,8,1557,4
424985,229900,1.58,"N",NULL,20130703,2862,3,1186,2
424986,1181400,0.73,"Y",341739,20130930,2799,7,1566,3
424987,1042200,0.74,"Y",341740,20140305,2689,5,1599,5
424988,1030200,1.47,"N",NULL,20140815,2950,1,1532,1
424989,747100,1.52,"N",NULL,20130705,2814,6,1132,1
424990,318700,0.78,"Y",341741,20141225,2784,6,1349,6
424991,1140900,0.73,"Y",341742,20140508,2739,6,1161,5
424992,482700,0.78,"N",NULL,20140417,2661,10,1133,6
424993,991600,0.74,"N",NULL,20130325,2551,1,1305,6
424994,193900,1.58,"Y",341743,20130703,2902,7,1471,2
424995,1220800,1.46,"Y",341744,20130315,2718,7,1477,1
424996,1249700,0.73,"Y",341745,20130212,2637,8,1407,3
424997,703700,0.76,"Y",341746,20131213,2899,6,1256,6
424998,1027300,0.74,"Y",341747,20131105,2742,7,1530,4
424999,1218500,1.46,"Y",341748,20140711,2899,5,1225,1
425000,174000,0.79,"Y",341749,20140228,2793,7,1147,4
425001,934700,0.74,"Y",341750,20130128,2781,4,1476,5
425002,836500,0.75,"Y",341751,20140225,2818,11,1156,6
425003,730300,0.76,"N",NULL,20131129,2934,10,1149,5
425004,117700,0.80,"Y",341752,20130425,2774,9,1131,3
425005,993400,0.74,"Y",341753,20140117,2610,10,1443,3
425006,948700,0.74,"N",NULL,20140724,2877,11,1409,5
425007,688800,1.52,"Y",341754,20130716,2934,3,1219,1
425008,923800,0.74,"Y",341755,20140403,3000,3,1435,6
425009,566400,0.77,"Y",341756,20130311,2968,3,1135,4
425010,590300,0.77,"N",NULL,20140617,2825,8,1192,6
425011,591900,0.77,"N",NULL,20130104,2515,10,1483,6
425012,769900,1.50,"N",NULL,20140616,2960,6,1609,1
425013,604200,0.77,"Y",341757,20130305,2617,7,1545,5
425014,236800,1.58,"Y",341758,20130110,2871,5,1218,2
425015,604300,1.54,"Y",341759,20140131,2688,8,1396,1
425016,972200,0.74,"Y",341760,20140514,2563,11,1277,5
425017,650700,1.52,"Y",341761,20130925,2917,2,1374,1
425018,529100,0.77,"Y",341762,20140529,2644,11,1445,5
425019,242400,0.79,"Y",341763,20131024,2531,3,1347,5
425020,945400,0.74,"Y",341764,20140929,2629,12,1329,4
425021,639000,1.52,"Y",341765,20130321,2883,2,1565,1
425022,815300,1.50,"Y",341766,20140715,2983,10,1454,2
425023,623500,0.77,"Y",341767,20141124,2966,1,1324,3
425024,686400,0.76,"Y",341768,20131212,2621,1,1257,4
425025,567400,0.77,"Y",341769,20141017,2581,9,1569,5
425026,436900,0.78,"Y",341770,20141014,2547,9,1273,5
425027,205800,1.58,"Y",341771,20140327,2662,1,1590,2
425028,72600,0.80,"Y",341772,20140417,2703,2,1496,5
425029,172000,1.58,"Y",341773,20130723,2989,3,1583,2
425030,878600,1.49,"Y",341774,20130808,2885,11,1189,1
425031,833000,1.50,"Y",341775,20140225,2581,1,1277,1
425032,942700,1.49,"Y",341776,20131113,2522,7,1229,1
425033,782600,1.50,"Y",341777,20140606,2812,6,1545,1
425034,1069900,0.74,"Y",341778,20140829,2585,1,1437,4
425035,562700,0.77,"N",NULL,20130911,2799,4,1446,3
425036,139600,1.58,"Y",341779,20130626,2550,4,1141,1
425037,482000,0.78,"N",NULL,20130424,2540,5,1436,3
425038,463600,1.55,"Y",341780,20140521,2878,12,1148,2
425039,1239400,0.73,"N",NULL,20130807,2563,8,1431,3
425040,772300,1.50,"Y",341781,20130516,2623,12,1538,1
425041,616500,1.54,"Y",341782,20141014,2653,10,1392,2
425042,97300,0.80,"Y",341783,20140722,2514,4,1164,5
425043,888700,1.49,"Y",341784,20140722,2904,8,1515,2
425044,339100,0.78,"Y",341785,20140717,2924,6,1340,6
425045,262500,0.78,"Y",341786,20141117,2553,6,1497,5
425046,969600,0.74,"Y",341787,20140502,2812,5,1521,3
425047,632100,0.76,"Y",341788,20131105,2763,12,1520,3
425048,238100,0.79,"Y",341789,20131127,2979,11,1373,3
425049,164600,0.79,"Y",341790,20130527,2925,6,1385,6
425050,397300,1.55,"Y",341791,20130116,2768,5,1318,1
425051,748300,0.76,"Y",341792,20130530,2770,1,1380,4
425052,1016300,1.47,"Y",341793,20130815,2903,6,1246,2
425053,718100,0.76,"Y",341794,20140102,2646,6,1246,4
425054,719400,1.52,"Y",341795,20130913,2823,2,1414,2
425055,308700,1.57,"Y",341796,20130806,2960,6,1556,1
425056,1205500,1.46,"Y",341797,20140923,2859,9,1280,1
425057,205000,0.79,"Y",341798,20141222,2689,7,1452,4
425058,116800,0.80,"Y",341799,20140905,2879,8,1577,6
425059,507600,0.77,"Y",341800,20141110,2954,10,1563,6
425060,400800,0.78,"Y",341801,20141016,2619,5,1206,5
425061,700900,0.76,"N",NULL,20140908,2604,10,1174,5
425062,905300,0.74,"Y",341802,20140421,2915,7,1531,6
425063,924400,0.74,"Y",341803,20130108,2828,1,1530,3
425064,221700,0.79,"Y",341804,20140318,2513,6,1546,4
425065,621100,0.77,"Y",341805,20140918,2690,2,1524,3
425066,1120600,0.74,"Y",341806,20140528,2903,10,1335,3
425067,1109000,0.74,"Y",341807,20130222,2765,3,1426,5
425068,167700,0.79,"Y",341808,20130613,2649,7,1376,3
425069,1186800,1.46,"Y",341809,20140214,2883,10,1441,1
425070,1240900,1.46,"Y",341810,20140508,2615,3,1454,2
425071,836600,1.50,"Y",341811,20141231,2605,2,1137,1
425072,466200,0.78,"Y",341812,20141014,2509,2,1236,3
425073,676600,1.52,"Y",341813,20130717,2602,7,1303,1
425074,1234800,0.73,"Y",341814,20130118,2818,12,1461,3
425075,1142300,0.73,"Y",341815,20140214,2954,2,1257,6
425076,1096800,1.47,"N",NULL,20140404,2856,11,1131,1
425077,614600,0.77,"Y",341816,20131120,2981,7,1122,4
425078,1032200,0.74,"Y",341817,20130325,2880,9,1534,6
425079,1136500,0.73,"Y",341818,20140115,2800,3,1443,4
425080,528400,0.77,"N",NULL,20140509,2673,5,1310,6
425081,566600,0.77,"Y",341819,20140603,2693,1,1320,3
425082,122300,0.80,"Y",341820,20130702,2741,8,1393,6
425083,843600,1.50,"Y",341821,20130708,2635,1,1321,1
425084,57900,0.80,"Y",341822,20140910,2585,12,1391,6
425085,148100,1.58,"Y",341823,20130408,2514,9,1275,1
425086,506600,0.77,"N",NULL,20140502,2871,7,1382,3
425087,1167000,1.46,"N",NULL,20141222,2840,8,1291,2
425088,951000,0.74,"N",NULL,20140520,2514,12,1221,6
425089,876500,1.49,"Y",341824,20140303,2522,2,1327,2
425090,205300,1.58,"Y",341825,20140421,2809,3,1574,2
425091,317500,1.57,"Y",341826,20141105,2790,9,1337,1
425092,1185800,1.46,"Y",341827,20130923,2970,8,1596,1
425093,806000,0.75,"Y",341828,20140924,2647,11,1513,4
425094,691800,1.52,"N",NULL,20131202,2737,12,1515,1
425095,948100,0.74,"N",NULL,20141126,2875,1,1494,4
425096,641200,0.76,"N",NULL,20130815,2816,11,1206,4
425097,84600,0.80,"Y",341829,20131226,2830,1,1153,3
425098,891200,1.49,"Y",341830,20140609,2794,1,1487,2
425099,1074700,1.47,"Y",341831,20130509,2798,9,1550,2
425100,959600,0.74,"Y",341832,20140407,2587,10,1506,3
425101,839600,0.75,"Y",341833,20140325,2659,5,1197,4
425102,305500,0.78,"Y",341834,20140221,2893,7,1302,5
425103,263300,0.78,"Y",341835,20140516,2504,6,1471,5
425104,949300,0.74,"Y",341836,20140821,2720,3,1264,5
425105,1178900,0.73,"Y",341837,20130923,2773,2,1234,4
425106,1193600,1.46,"Y",341838,20140327,2564,6,1416,1
425107,102800,0.80,"Y",341839,20130313,2595,11,1338,3
425108,1216400,0.73,"Y",341840,20140328,2664,10,1266,6
425109,1079700,0.74,"Y",341841,20141215,2929,11,1458,3
425110,1069300,1.47,"Y",341842,20140213,2727,5,1393,2
425111,312300,0.78,"Y",341843,20141009,2779,5,1424,4
425112,843400,1.50,"Y",341844,20130513,2766,9,1506,2
425113,600000,0.77,"Y",341845,20130618,2870,12,1401,5
425114,1016200,1.47,"Y",341846,20130702,2831,6,1425,2
425115,405600,0.78,"N",NULL,20130208,2599,9,1122,3
425116,450500,1.55,"Y",341847,20140725,2770,1,1540,1
425117,59200,0.80,"Y",341848,20140312,2550,8,1304,4
425118,1127500,0.73,"Y",341849,20130405,2803,11,1542,4
425119,524500,0.77,"Y",341850,20140313,2552,6,1216,5
425120,1094700,1.47,"N",NULL,20141113,2792,9,1193,2
425121,42800,0.80,"Y",341851,20140722,2864,2,1376,4
425122,633900,0.76,"N",NULL,20141229,2582,2,1207,6
425123,358800,0.78,"Y",341852,20140714,2880,2,1465,6
425124,121700,1.60,"Y",341853,20130916,2965,12,1316,1
425125,755600,0.75,"Y",341854,20131106,2983,8,1253,5
425126,909400,0.74,"Y",341855,20130418,2723,2,1480,6
425127,265300,0.78,"Y",341856,20131016,2822,5,1562,4
425128,1097100,0.74,"N",NULL,20140101,2964,8,1171,5
425129,378600,0.78,"Y",341857,20130530,2732,6,1167,5
425130,528900,0.77,"Y",341858,20130522,2926,4,1600,5
425131,1248800,0.73,"N",NULL,20140425,2982,7,1345,5
425132,1148900,0.73,"Y",341859,20141024,2632,5,1485,4
425133,506000,1.54,"Y",341860,20131002,2732,10,1368,2
425134,973100,1.49,"Y",341861,20140409,2801,3,1298,2
425135,662200,0.76,"Y",341862,20141017,2997,5,1309,3
425136,376100,1.55,"Y",341863,20130603,2526,12,1304,1
425137,819900,0.75,"Y",341864,20130506,2648,7,1202,3
425138,254500,1.57,"N",NULL,20140415,2715,8,1531,2
425139,988600,0.74,"Y",341865,20130930,2708,9,1480,4
425140,580900,1.54,"Y",341866,20130701,2546,4,1548,1
425141,913600,0.74,"Y",341867,20141024,2546,9,1408,5
425142,613600,0.77,"Y",341868,20130916,2799,8,1405,6
425143,301400,0.78,"Y",341869,20140401,2785,5,1573,4
425144,462000,1.55,"Y",341870,20130218,2657,6,1289,1
425145,586200,0.77,"Y",341871,20140708,2846,2,1188,4
425146,617100,0.77,"Y",341872,20130412,2956,5,1164,3
425147,179900,0.79,"Y",341873,20141230,2763,11,1309,3
425148,207000,1.58,"Y",341874,20131129,2975,9,1568,2
425149,146500,0.79,"Y",341875,20130301,2510,2,1136,5
425150,715800,1.52,"N",NULL,20140918,2804,8,1369,2
425151,872500,1.50,"Y",341876,20130924,2614,9,1131,2
425152,242500,1.58,"Y",341877,20131115,2929,3,1607,2
425153,267000,0.78,"Y",341878,20140403,2913,12,1317,5
425154,338800,1.57,"Y",341879,20140917,2544,5,1217,2
425155,347700,0.78,"N",NULL,20141231,2842,9,1370,5
425156,958400,0.74,"N",NULL,20140218,2960,11,1433,3
425157,965600,1.49,"Y",341880,20140210,2750,9,1176,1
425158,324900,0.78,"Y",341881,20140203,2661,11,1476,4
425159,92600,0.80,"Y",341882,20140808,2797,7,1411,4
425160,120300,1.60,"Y",341883,20130117,2727,10,1553,2
425161,892000,0.74,"Y",341884,20140618,2586,4,1513,5
425162,528800,0.77,"Y",341885,20130801,2995,12,1618,4
425163,1137000,0.73,"Y",341886,20131028,2940,3,1375,6
425164,224700,1.58,"Y",341887,20130717,2759,6,1435,1
425165,957200,0.74,"N",NULL,20140611,2625,10,1427,3
425166,374600,1.57,"Y",341888,20130703,2734,4,1187,1
425167,601400,0.77,"Y",341889,20130329,2564,2,1253,4
425168,927400,0.74,"Y",341890,20141125,2954,8,1598,5
425169,89300,0.80,"Y",341891,20130826,2508,1,1610,5
425170,950100,0.74,"Y",341892,20140430,2738,8,1223,6
425171,811300,0.75,"Y",341893,20130520,2957,5,1407,4
425172,767200,1.50,"Y",341894,20140521,2845,11,1211,2
425173,990000,1.49,"N",NULL,20131120,2648,5,1333,1
425174,613200,0.77,"Y",341895,20140417,2776,1,1563,4
425175,912100,0.74,"Y",341896,20130115,2906,6,1542,5
425176,1064600,0.74,"Y",341897,20130205,2664,1,1323,4
425177,820100,0.75,"Y",341898,20130228,2985,1,1288,4
425178,930700,0.74,"Y",341899,20140929,2934,5,1406,4
425179,307300,0.78,"Y",341900,20141226,2919,11,1181,4
425180,1123900,0.74,"N",NULL,20140707,2874,1,1580,3
425181,426100,0.78,"N",NULL,20130531,2923,12,1565,4
425182,1169200,0.73,"Y",341901,20140805,2985,6,1152,6
425183,826500,0.75,"N",NULL,20141107,2693,12,1165,6
425184,359000,0.78,"Y",341902,20131224,2903,5,1345,5
425185,969100,0.74,"Y",341903,20141104,2707,8,1204,3
425186,914400,0.74,"Y",341904,20131210,2755,5,1617,5
425187,577900,1.54,"N",NULL,20131115,2963,11,1145,1
425188,897900,0.74,"Y",341905,20141202,2954,11,1497,6
425189,405200,1.55,"Y",341906,20141104,2546,11,1515,2
425190,680600,1.52,"Y",341907,20140219,2637,9,1296,2
425191,266000,0.78,"Y",341908,20130709,2879,7,1209,6
425192,1075900,0.74,"N",NULL,20130104,2610,8,1232,5
425193,43600,0.80,"Y",341909,20130320,2785,12,1588,5
425194,292400,0.78,"Y",341910,20130621,2928,8,1593,4
425195,941500,1.49,"Y",341911,20140402,2613,6,1608,2
425196,1208300,0.73,"Y",341912,20130523,2611,11,1418,3
425197,1183900,0.73,"Y",341913,20130528,2578,6,1134,6
425198,865400,1.50,"Y",341914,20130313,2766,5,1498,1
425199,481600,1.55,"Y",341915,20130116,2970,5,1556,1
425200,647600,0.76,"Y",341916,20130612,2670,3,1504,6
425201,778200,1.50,"Y",341917,20140514,2612,8,1272,2
425202,114800,0.80,"Y",341918,20130926,2563,3,1540,3
425203,1187800,0.73,"Y",341919,20130704,2675,1,1413,3
425204,1219300,1.46,"N",NULL,20140618,2883,10,1304,1
425205,619500,0.77,"Y",341920,20140515,2781,3,1184,6
425206,722000,1.52,"Y",341921,20140425,2627,2,1128,1
425207,593500,0.77,"Y",341922,20131025,2824,1,1214,5
425208,641600,0.76,"Y",341923,20140106,2958,7,1400,5
425209,1245200,0.73,"Y",341924,20131031,2813,1,1425,3
425210,451400,1.55,"N",NULL,20140303,2841,8,1155,1
425211,1086300,0.74,"Y",341925,20130621,2544,6,1405,3
