"financial_summary_cost_id","actual_units","actual_labor_cost","actual_material_cost","actual_machine_cost","actual_overhead_cost","budget_units","budget_labor_cost","budget_material_cost","budget_machine_cost","budget_overhead_cost","location_id","machine_type_id","sales_class_id","report_begin_date_id","report_end_date_id"
201504030503,188371,22622,4548.55,18281,3176.15,171342,20595,4174.2,16809,2906.49,5,3,3,20150401,20150430
201504030507,331448,40922,21001.02,14837,13751.97,301485,37284,19253.74,13365,12466.16,5,7,3,20150401,20150430
201504030604,295050,38543,9406.28,19823,12379.01,312369,40798,9920.8,20931,13012.82,6,4,3,20150401,20150430
201504030606,71862,10581,3575.27,6648,2046.44,76080,11201,3760.11,7089,2154.29,6,6,3,20150401,20150430
201504030701,112602,25903,1413.25,5514,3227.5,108413,24901,1352.06,5360,3128.09,7,1,3,20150401,20150430
201504030702,556047,76048,16766.55,55223,32078.31,535362,72869,16198.16,52986,30631.58,7,2,3,20150401,20150430
201504030704,555446,110458,8855.25,45280,11725.64,534783,105741,8529.38,43654,11353.94,7,4,3,20150401,20150430
201504030705,640167,126003,22982.76,43388,18612.61,616352,121076,22123.2,41553,17920.22,7,5,3,20150401,20150430
201504030706,578100,122982,13431.9,22884,20695.92,556594,117313,12948.35,22046,19834.97,7,6,3,20150401,20150430
201504030707,786055,120726,30531.35,64559,29513.74,756813,115486,29407.8,62319,28226.94,7,7,3,20150401,20150430
201504030801,822851,114041,32918.13,72252,43533.92,876994,121328,34995.26,77093,46781.55,8,1,3,20150401,20150430
201504030802,595889,107914,32393.79,45314,20719.01,635098,115490,34638.68,48685,22080.25,8,2,3,20150401,20150430
201504030803,935140,115126,37487.6,82847,30679.18,996672,123185,40179.21,88431,32661.06,8,3,3,20150401,20150430
201504030804,207184,28773,7675.46,26640,6340.78,220816,30948,8123.71,28268,6729.47,8,4,3,20150401,20150430
201504030805,11016,1014,813.6,633,585.37,11740,1089,866.97,670,626.64,8,5,3,20150401,20150430
201504030807,697798,111620,28419.3,27126,20568.39,743713,118931,30468.33,28987,21919.73,8,7,3,20150401,20150430
201504030903,207015,37451,10919.46,5712,3492.76,215109,39121,11444.69,5911,3594.75,9,3,3,20150401,20150430
201504030904,205150,27326,6821.63,13104,8471.51,213171,28351,7135.42,13538,8830.7,9,4,3,20150401,20150430
201504030905,1364402,193612,50251.3,100368,77281.05,1417750,199672,52045.27,103871,79939.52,9,5,3,20150401,20150430
201504030906,335700,55204,12120.9,36652,9374.55,348825,56904,12674.83,38276,9799.22,9,6,3,20150401,20150430
201504030907,458164,103817,12577.7,26276,11070.36,476078,107284,13072.0,27327,11546.39,9,7,3,20150401,20150430
201504031001,324672,28452,22674.6,14976,17949.87,299867,26142,20917.32,13760,16517.47,10,1,3,20150401,20150430
201504031002,287648,23146,20894.1,25431,13254.65,265671,21234,19293.61,23661,12350.68,10,2,3,20150401,20150430
201504031003,89224,19469,2839.88,5616,1852.05,82407,17923,2614.11,5221,1716.85,10,3,3,20150401,20150430
201504031004,139552,22855,3822.93,12317,6957.16,128890,21196,3498.75,11329,6491.03,10,4,3,20150401,20150430
201504031006,620620,90655,25581.79,43984,12656.71,573204,82922,23724.55,40879,11683.41,10,6,3,20150401,20150430
201504031007,250248,28697,12763.56,21199,11829.35,231129,26769,11836.93,19586,10929.14,10,7,3,20150401,20150430
201504031102,594897,122656,32474.33,31810,21301.46,562356,116413,30415.46,29866,20289.64,11,2,3,20150401,20150430
201504031103,213918,18463,8479.44,31464,6377.1,202216,17536,8054.62,29878,5985.55,11,3,3,20150401,20150430
201504031105,305386,49418,11532.37,7998,11800.57,288681,47066,10804.68,7556,11053.59,11,5,3,20150401,20150430
201504031106,166770,34008,6604.88,9937,4368.96,157647,32100,6181.51,9413,4141.34,11,6,3,20150401,20150430
201504031107,624682,114855,29795.63,32256,16883.75,590511,108216,27963.2,30340,15992.29,11,7,3,20150401,20150430
201504031201,190475,23561,11964.71,17664,8593.5,188532,23436,11958.73,17494,8476.63,12,1,3,20150401,20150430
201504031202,460981,62879,24017.11,39788,10016.11,456278,61886,23712.09,39482,9829.81,12,2,3,20150401,20150430
201504031203,102138,16784,1283.07,11040,3224.33,101096,16717,1278.84,10989,3214.01,12,3,3,20150401,20150430
201504031204,1035500,121581,31646.31,97843,33513.48,1024937,121520,31620.99,97187,32943.75,12,4,3,20150401,20150430
201504031205,115052,27511,3161.55,2397,2484.84,113878,27046,3127.72,2356,2468.69,12,5,3,20150401,20150430
201504031206,102138,24582,4910.27,3415,1615.88,101096,24331,4826.8,3370,1592.77,12,6,3,20150401,20150430
201504031207,434831,51959,21400.36,31706,17763.56,430395,51694,21171.38,31620,17680.07,12,7,3,20150401,20150430
201504040101,214968,25200,5971.62,29436,5706.89,235647,27491,6588.49,32182,6225.08,1,1,4,20150401,20150430
201504040102,204828,18301,16421.23,15185,9545.82,224532,20116,17895.86,16722,10491.81,1,2,4,20150401,20150430
201504040104,23392,3199,466.06,3750,1098.24,25642,3493,512.29,4124,1195.54,1,4,4,20150401,20150430
201504040106,200772,44492,1213.81,13773,3532.81,220086,48843,1322.45,15099,3849.7,1,6,4,20150401,20150430
201504040201,708974,114144,25510.18,40697,23342.76,775404,125387,27961.71,44738,25714.38,2,1,4,20150401,20150430
201504040202,339009,42215,13848.74,36965,10259.51,370774,46496,15072.97,40695,11168.5,2,2,4,20150401,20150430
201504040203,1077869,120957,28617.93,119879,46820.29,1178865,131589,31528.37,130668,51483.59,2,3,4,20150401,20150430
201504040204,562105,148509,18893.54,15894,15797.79,614774,161058,20731.88,17502,17143.76,2,4,4,20150401,20150430
201504040205,695750,90087,50855.03,46108,38870.55,760941,98141,55426.9,50857,42497.17,2,5,4,20150401,20150430
201504040206,174012,29192,12642.52,5542,6057.1,190316,31752,13712.08,6058,6602.84,2,6,4,20150401,20150430
201504040207,1015355,153379,46606.34,70763,39574.15,1110493,168073,51169.1,77018,43598.84,2,7,4,20150401,20150430
201504040301,252553,21470,13755.61,26120,7996.25,257073,21871,13935.81,26588,8171.37,3,1,4,20150401,20150430
201504040302,201066,25351,5460.24,25344,8413.72,204665,26023,5610.94,25929,8604.71,3,2,4,20150401,20150430
201504040303,1121715,207119,52159.91,64770,42667.48,1141793,210971,52827.56,65567,43418.43,3,3,4,20150401,20150430
201504040304,396492,78632,4900.41,22032,6844.14,403589,79403,4952.35,22257,7020.03,3,4,4,20150401,20150430
201504040305,187915,40013,8022.97,11353,7512.03,191278,40729,8125.66,11515,7681.8,3,5,4,20150401,20150430
201504040306,309542,63280,23750.57,15450,9442.96,315082,63799,24061.7,15572,9651.65,3,6,4,20150401,20150430
201504040307,1004532,159521,34722.58,61701,36841.64,1022513,163190,35229.53,62842,37648.47,3,7,4,20150401,20150430
201504040401,337404,59275,9536.97,27244,11742.92,376036,66157,10592.71,30342,13004.11,4,1,4,20150401,20150430
201504050806,532914,73972,21265.9,49516,28661.38,521616,71745,20923.52,48194,27898.99,8,6,5,20150401,20150430
201504050807,383775,83305,3840.24,21634,7217.01,375638,81389,3779.56,21050,7109.48,8,7,5,20150401,20150430
201504050901,1544938,186298,63171.53,126141,63543.31,1575682,189745,63803.25,129509,64769.7,9,1,5,20150401,20150430
201504050902,82890,16228,3280.62,3379,3480.76,84539,16661,3363.95,3463,3584.49,9,2,5,20150401,20150430
201504050903,988690,153597,29048.99,69055,55249.67,1008364,156208,29455.68,70070,55824.27,9,3,5,20150401,20150430
201504050904,471498,66088,25656.6,21898,11033.24,480880,67938,26013.23,22548,11260.52,9,4,5,20150401,20150430
201504050905,373197,45988,17193.4,28157,12777.03,380623,46949,17671.38,28836,13136.06,9,5,5,20150401,20150430
201504050907,592150,81158,20466.61,42222,32228.26,603933,83017,20959.86,43062,32834.15,9,7,5,20150401,20150430
201504051003,502810,81113,11152.04,30652,5061.99,523978,84828,11726.37,31786,5257.38,10,3,5,20150401,20150430
201504051006,140590,29524,2267.65,9495,3966.34,146508,30569,2381.26,9944,4106.35,10,6,5,20150401,20150430
201504051101,285180,56572,13210.3,17712,5525.86,299866,59152,13959.32,18730,5825.36,11,1,5,20150401,20150430
201504051102,453406,83480,15534.15,23048,12328.88,476756,88355,16306.2,24327,12907.1,11,2,5,20150401,20150430
201504051103,1131243,159590,48028.04,47730,34904.51,1189502,167186,50535.1,50040,36932.46,11,3,5,20150401,20150430
201504051104,548576,106414,4137.85,25852,11787.66,576827,112575,4333.16,26971,12425.37,11,4,5,20150401,20150430
201504051105,314482,39365,13848.94,29192,10035.99,330677,41073,14600.94,30570,10566.89,11,5,5,20150401,20150430
201504051106,843570,98156,35025.89,82001,51165.81,887013,103506,37008.36,86724,53381.29,11,6,5,20150401,20150430
201504051107,68373,14169,1239.23,3151,1475.43,71894,14964,1306.15,3337,1538.28,11,7,5,20150401,20150430
201504051201,756505,91414,30373.23,39966,44978.83,761346,91679,30762.01,40442,45550.06,12,1,5,20150401,20150430
201504051203,507760,68796,14095.71,28340,14942.48,511009,68906,14325.47,28626,14900.64,12,3,5,20150401,20150430
201504051204,367815,67571,22798.48,25688,10828.09,370169,68389,22832.68,25976,10790.19,12,4,5,20150401,20150430
201504051205,1324155,190434,40122.99,78746,47104.92,1332629,192300,39994.6,80030,47679.6,12,5,5,20150401,20150430
201504051206,431340,63466,7952.03,38769,22929.89,434100,64069,7967.14,38742,23131.67,12,6,5,20150401,20150430
201504051207,852191,97322,43495.87,92593,30817.1,857645,98315,43965.63,93843,31072.88,12,7,5,20150401,20150430
201504060102,210240,21678,9203.62,19565,13371.57,205257,21262,8943.16,18929,13070.71,1,2,6,20150401,20150430
201504060103,34711,2999,3478.86,2880,1281.93,33888,2914,3371.02,2809,1243.86,1,3,6,20150401,20150430
201504060104,219780,38887,8269.1,6418,9042.81,214571,37926,8079.74,6253,8762.48,1,4,6,20150401,20150430
201504060105,223740,19467,8203.29,11167,18246.28,218437,18959,7985.08,10927,17974.41,1,5,6,20150401,20150430
201504060106,458170,61983,9478.17,36953,23631.32,447311,60006,9309.46,36251,22931.83,1,6,6,20150401,20150430
201504060107,225720,23357,7026.52,12466,15955.63,220370,22923,6859.99,12148,15628.54,1,7,6,20150401,20150430
201504060204,632642,91778,14706.93,85247,13805.65,591330,86189,13680.39,79152,12919.33,2,4,6,20150401,20150430
201504060205,15345,2049,639.44,765,1404.15,14342,1934,595.45,720,1301.23,2,5,6,20150401,20150430
201504060207,87205,8319,2619.02,6860,9120.33,81510,7701,2462.66,6447,8475.52,2,7,6,20150401,20150430
201504060301,579371,93258,15682.89,49558,13134.04,544724,87905,14785.83,47075,12452.38,3,1,6,20150401,20150430
201504060302,1187338,108637,50242.6,118983,66076.75,1116335,101988,47715.4,112974,62739.87,3,2,6,20150401,20150430
201504060303,719664,171749,32538.44,16269,13679.08,676628,162990,30543.83,15345,12975.98,3,3,6,20150401,20150430
201504060304,888518,111673,57981.87,61334,44763.8,835384,104023,54160.86,57200,42015.3,3,4,6,20150401,20150430
201504060305,1562744,260878,49715.08,98055,45636.25,1469291,247756,47144.81,92299,42838.75,3,5,6,20150401,20150430
201504060306,543531,91083,11530.12,31316,9039.79,511027,86055,10851.0,29233,8490.17,3,6,6,20150401,20150430
201504060307,712375,52691,43842.4,80390,16836.33,669774,49941,41339.0,75679,15858.14,3,7,6,20150401,20150430
201504060402,231962,22966,10275.6,20249,10994.06,254415,25201,11314.46,22045,11962.64,4,2,6,20150401,20150430
201504060403,281642,42245,5677.45,16376,12590.11,308904,46267,6275.85,17915,13811.35,4,3,6,20150401,20150430
201504060502,322232,29315,11458.97,55540,5748.01,351877,32296,12476.53,61050,6239.46,5,2,6,20150401,20150430
201504060503,434969,38850,14979.61,67068,12468.59,474986,42448,16242.39,73849,13669.32,5,3,6,20150401,20150430
201504060602,377908,76671,8738.62,14545,15858.51,412940,83893,9511.11,15794,17250.89,6,2,6,20150401,20150430
201504060603,338528,70226,14172.7,17018,13259.94,369909,76771,15587.14,18521,14387.03,6,3,6,20150401,20150430
201504060604,409420,43925,23899.02,49373,9865.21,447373,48208,25994.96,53822,10780.7,6,4,6,20150401,20150430
201504060605,495275,81796,8105.17,31536,8579.13,541186,89362,8831.39,34765,9420.74,6,5,6,20150401,20150430
201504060606,325106,31861,8829.43,47489,13748.23,355243,34999,9569.34,51616,14993.82,6,6,6,20150401,20150430
201504060607,766836,150653,22565.87,52712,22824.05,837921,163308,24522.33,57941,24955.82,6,7,6,20150401,20150430
201504060701,802920,97183,27607.2,71649,45310.02,805248,97173,27897.08,71491,45101.59,7,1,6,20150401,20150430
201504060702,82926,12754,3544.51,4860,3367.14,83166,12846,3573.22,4895,3344.24,7,2,6,20150401,20150430
201504060704,245208,20076,8721.88,25855,16675.79,245919,19990,8669.55,25927,16875.9,7,4,6,20150401,20150430
201504060705,538410,100343,20931.95,35647,17627.54,539971,100624,20791.71,35636,17796.76,7,5,6,20150401,20150430
201504060706,406254,90088,13200.6,20032,8760.23,407432,90502,13327.33,20038,8828.56,7,6,6,20150401,20150430
201504060707,232994,15782,6999.25,32938,7340.96,233669,15714,7074.84,33178,7313.06,7,7,6,20150401,20150430
201504060801,438123,76885,26961.21,21279,21501.43,411266,72333,25079.32,19813,20099.54,8,1,6,20150401,20150430
201504060805,312576,32859,9872.97,30344,8461.96,293415,30809,9195.68,28448,7968.63,8,5,6,20150401,20150430
201504060901,1087740,183874,32498.9,51782,30447.4,1069683,180693,32229.16,51161,29811.05,9,1,6,20150401,20150430
201504060902,297,35,14.39,20,16.45,292,34,14.22,20,16.02,9,2,6,20150401,20150430
201504060904,118128,14996,5175.22,10350,6989.91,116167,14735,5097.07,10165,6871.78,9,4,6,20150401,20150430
201504060905,399726,70691,12137.02,26100,8308.04,393090,68973,12048.42,25860,8098.68,9,5,6,20150401,20150430
201504061002,213683,26529,8387.8,14758,6474.33,226076,27869,8814.74,15685,6787.69,10,2,6,20150401,20150430
201504061003,352976,25116,7063.31,47300,12071.91,373448,26718,7535.14,49745,12873.48,10,3,6,20150401,20150430
201504061004,785870,124421,27501.26,69507,32188.35,831450,132073,28829.57,73246,33849.27,10,4,6,20150401,20150430
201504061005,429180,86657,11917.44,28517,16857.97,454072,90981,12653.94,30396,17916.65,10,5,6,20150401,20150430
201504061006,144894,26336,3219.02,5273,3692.76,153297,27758,3375.14,5587,3896.6,10,6,6,20150401,20150430
201504061101,351354,45971,21252.19,30160,22419.9,330061,43158,20076.94,28085,20857.23,11,1,6,20150401,20150430
201504061102,120336,22341,1705.39,6624,1841.1,113043,21041,1611.93,6215,1722.9,11,2,6,20150401,20150430
201504061103,487648,42030,28250.77,51253,12892.73,458096,39206,26408.82,48496,12214.57,11,3,6,20150401,20150430
201504061105,74437,12748,2302.36,4641,2554.16,69926,11940,2140.04,4406,2404.23,11,5,6,20150401,20150430
201504061106,1006525,139257,41403.1,107320,36606.97,945529,131974,38985.16,100248,34633.85,11,6,6,20150401,20150430
201504061202,313005,26375,11525.22,21960,29110.1,303927,25724,11143.74,21185,28490.05,12,2,6,20150401,20150430
201402050702,757672,146169,35495.47,29868,19813.46,3670197,545398,173573.37,214258,140671.7,7,2,5,20140203,20140228
201402050703,163240,20872,3376.72,9646,9898.98,2860367,405000,72779.72,223153,102216.04,7,3,5,20140203,20140228
201402050704,354697,71581,11950.32,25611,15048.74,2439684,368344,79150.96,168008,114960.6,7,4,5,20140203,20140228
201402050705,262820,23428,12474.41,27221,6964.19,2400576,368852,88209.22,170460,81035.98,7,5,5,20140203,20140228
201402050706,549251,85378,19638.04,17985,28179.23,2856137,455592,110795.89,179366,106343.66,7,6,5,20140203,20140228
201402050707,253055,26660,32128.14,17483,11126.33,2917127,343142,160338.79,212063,146650.46,7,7,5,20140203,20140228
201402050801,0,0,0.0,0,0.0,3627601,628202,112325.49,272427,94266.08,8,1,5,20140203,20140228
201402050802,0,0,0.0,0,0.0,1225694,160918,59592.97,84768,51647.02,8,2,5,20140203,20140228
201402050803,0,0,0.0,0,0.0,1143668,181121,37906.63,98445,47233.64,8,3,5,20140203,20140228
201402050804,0,0,0.0,0,0.0,2524223,452244,60588.97,173550,95076.71,8,4,5,20140203,20140228
201402050805,180960,25244,4560.96,17552,6901.65,1850277,287163,55062.31,143099,72793.41,8,5,5,20140203,20140228
201402050806,0,0,0.0,0,0.0,1500861,192114,89832.98,98176,48780.91,8,6,5,20140203,20140228
201402050807,398090,65685,31526.82,32390,10578.03,2260465,344643,87736.98,136080,75483.72,8,7,5,20140203,20140228
201402050901,555864,54296,30912.51,48222,17813.23,2135061,241858,92678.42,160105,72958.31,9,1,5,20140203,20140228
201402050902,0,0,0.0,0,0.0,1499928,213818,62053.61,89103,50804.81,9,2,5,20140203,20140228
201402050903,0,0,0.0,0,0.0,1248714,185426,36094.02,120362,53503.0,9,3,5,20140203,20140228
201402050904,149430,12612,10295.84,14204,6744.42,2120991,265853,110963.66,153812,102737.05,9,4,5,20140203,20140228
201402050905,0,0,0.0,0,0.0,1057054,136532,48602.04,86369,34464.1,9,5,5,20140203,20140228
201402050906,776384,105322,20077.59,55509,18800.76,1466380,163881,44831.89,118401,59187.81,9,6,5,20140203,20140228
201402050907,305400,49296,9295.32,28224,9365.17,1801703,302770,43063.17,145437,71869.66,9,7,5,20140203,20140228
201402051001,285969,51835,5376.72,31018,5015.67,890944,160468,19073.47,68327,19704.34,10,1,5,20140203,20140228
201402051002,1178842,144890,48439.91,118670,70915.96,2383450,302178,89144.38,249138,106559.76,10,2,5,20140203,20140228
201402051003,539560,72701,15866.52,42084,10984.53,1296896,211132,30524.44,99589,36658.25,10,3,5,20140203,20140228
201402051004,8265,1398,459.7,1080,224.19,2994534,433952,82897.38,255679,94623.28,10,4,5,20140203,20140228
201402051005,749812,94616,54849.34,71552,35982.64,2900527,360400,169851.34,255489,119214.97,10,5,5,20140203,20140228
201402051006,795680,124812,35534.09,55277,19195.36,1287547,179223,50124.76,122917,38448.3,10,6,5,20140203,20140228
201402051007,691885,94868,27806.32,52173,40106.44,2383584,381974,85814.07,217482,75134.59,10,7,5,20140203,20140228
201402051101,0,0,0.0,0,0.0,1517641,237016,44900.77,98325,55199.16,11,1,5,20140203,20140228
